1,7
2,6
3,8
4,8
5,4
6,5
7,10
8,7
9,5
10,6
11,7
12,8
13,9
14,9
15,6
16,3
17,4
18,5
19,5
20,7
21,8
22,10
23,9
24,8
25,7
26,6
27,7
28,6
29,5
30,9
31,8
32,7
33,6
34,7
35,8
36,8
37,9
38,9
39,5
40,6
41,7
42,10
43,8
44,7
45,6
46,4
47,7
48,8
49,9
50,8
51,8
52,9
53,10
54,10
55,7
56,6
57,7
58,8
59,5
60,9
61,9
62,7
63,6
64,4
65,10
66,7
67,6
68,8
69,8
70,9
71,9
72,4
73,5
74,5
75,6
76,8
77,9
78,6
79,8
80,6
81,7
82,6
83,7
84,5
85,10
86,9
87,6
88,6
89,6
90,7
91,5
92,4
93,4
94,5
95,9
96,8
97,6
98,7
99,9
100,6
